"Row","Imbalance_Ratio","Sample_Size","Balance_Method","Model_Type","Threshold","Accuracy","Precision","Recall","F1_Score","TP","TN","FP","FN"
275,0.2,2000,"None","Logistic",0.7,0.8,0,0,0,0,480,0,120
276,0.2,2000,"None","DecisionTree",0.3,0.8,0,0,0,0,480,0,120
277,0.2,2000,"None","DecisionTree",0.4,0.8,0,0,0,0,480,0,120
278,0.2,2000,"None","DecisionTree",0.5,0.8,0,0,0,0,480,0,120
279,0.2,2000,"None","DecisionTree",0.6,0.8,0,0,0,0,480,0,120
280,0.2,2000,"None","DecisionTree",0.7,0.8,0,0,0,0,480,0,120
281,0.2,2000,"Undersample","Logistic",0.3,0.2533,0.2029,0.9333,0.3333,112,40,440,8
282,0.2,2000,"Undersample","Logistic",0.4,0.4467,0.2088,0.6333,0.3141,76,192,288,44
283,0.2,2000,"Undersample","Logistic",0.5,0.6617,0.1926,0.2167,0.2039,26,371,109,94
284,0.2,2000,"Undersample","Logistic",0.6,0.7767,0.1818,0.0333,0.0563,4,462,18,116
285,0.2,2000,"Undersample","Logistic",0.7,0.8,0,0,0,0,480,0,120
286,0.2,2000,"Undersample","DecisionTree",0.3,0.3667,0.2005,0.725,0.3141,87,133,347,33
287,0.2,2000,"Undersample","DecisionTree",0.4,0.4233,0.2073,0.6667,0.3163,80,174,306,40
288,0.2,2000,"Undersample","DecisionTree",0.5,0.4233,0.2073,0.6667,0.3163,80,174,306,40
289,0.2,2000,"Undersample","DecisionTree",0.6,0.4233,0.2073,0.6667,0.3163,80,174,306,40
